,FC,labels,setting
490,,modT-2 trend,1
491,,modT-2 trend,1
492,,modT-2 trend,1
493,,modT-2 trend,1
494,,modT-2 trend,1
495,,modT-2 trend,1
496,,modT-2 trend,1
497,,modT-2 trend,1
498,,modT-2 trend,1
499,,modT-2 trend,1
500,,modT-2 trend,1.1
501,,modT-2 trend,1.1
502,,modT-2 trend,1.1
503,,modT-2 trend,1.1
504,,modT-2 trend,1.1
505,,modT-2 trend,1.1
506,,modT-2 trend,1.1
507,,modT-2 trend,1.1
508,,modT-2 trend,1.1
509,,modT-2 trend,1.1
510,,modT-2 trend,1.1
511,,modT-2 trend,1.1
512,,modT-2 trend,1.1
513,,modT-2 trend,1.1
514,,modT-2 trend,1.1
515,,modT-2 trend,1.1
516,,modT-2 trend,1.1
517,,modT-2 trend,1.1
518,,modT-2 trend,1.1
519,,modT-2 trend,1.1
520,,modT-2 trend,1.1
521,,modT-2 trend,1.1
522,,modT-2 trend,1.1
523,,modT-2 trend,1.1
524,,modT-2 trend,1.1
525,,modT-2 trend,1.1
526,,modT-2 trend,1.1
527,,modT-2 trend,1.1
528,,modT-2 trend,1.1
529,,modT-2 trend,1.1
530,,modT-2 trend,1.1
531,,modT-2 trend,1.1
532,,modT-2 trend,1.1
533,,modT-2 trend,1.1
534,,modT-2 trend,1.1
535,,modT-2 trend,1.1
536,,modT-2 trend,1.1
537,,modT-2 trend,1.1
538,,modT-2 trend,1.1
539,,modT-2 trend,1.1
540,,modT-2 trend,1.1
541,,modT-2 trend,1.1
542,,modT-2 trend,1.1
543,,modT-2 trend,1.1
544,,modT-2 trend,1.1
545,,modT-2 trend,1.1
546,,modT-2 trend,1.1
547,,modT-2 trend,1.1
548,,modT-2 trend,1.1
549,,modT-2 trend,1.1
550,,modT-2 trend,1.2
551,,modT-2 trend,1.2
552,,modT-2 trend,1.2
553,,modT-2 trend,1.2
554,,modT-2 trend,1.2
555,,modT-2 trend,1.2
556,,modT-2 trend,1.2
557,,modT-2 trend,1.2
558,,modT-2 trend,1.2
559,,modT-2 trend,1.2
560,,modT-2 trend,1.2
561,,modT-2 trend,1.2
562,,modT-2 trend,1.2
563,,modT-2 trend,1.2
564,,modT-2 trend,1.2
565,,modT-2 trend,1.2
566,,modT-2 trend,1.2
567,,modT-2 trend,1.2
568,,modT-2 trend,1.2
569,,modT-2 trend,1.2
570,,modT-2 trend,1.2
571,,modT-2 trend,1.2
572,,modT-2 trend,1.2
573,,modT-2 trend,1.2
574,,modT-2 trend,1.2
575,,modT-2 trend,1.2
576,,modT-2 trend,1.2
577,,modT-2 trend,1.2
578,,modT-2 trend,1.2
579,,modT-2 trend,1.2
580,,modT-2 trend,1.2
581,,modT-2 trend,1.2
582,,modT-2 trend,1.2
583,,modT-2 trend,1.2
584,,modT-2 trend,1.2
585,,modT-2 trend,1.2
586,,modT-2 trend,1.2
587,,modT-2 trend,1.2
588,,modT-2 trend,1.2
589,,modT-2 trend,1.2
590,,modT-2 trend,1.2
591,,modT-2 trend,1.2
592,,modT-2 trend,1.2
593,,modT-2 trend,1.2
594,,modT-2 trend,1.2
595,,modT-2 trend,1.2
596,,modT-2 trend,1.2
597,,modT-2 trend,1.2
598,,modT-2 trend,1.2
599,,modT-2 trend,1.2
600,,modT-2 trend,1.3
601,,modT-2 trend,1.3
602,,modT-2 trend,1.3
603,,modT-2 trend,1.3
604,,modT-2 trend,1.3
605,,modT-2 trend,1.3
606,,modT-2 trend,1.3
607,,modT-2 trend,1.3
608,,modT-2 trend,1.3
609,,modT-2 trend,1.3
610,,modT-2 trend,1.3
611,,modT-2 trend,1.3
612,,modT-2 trend,1.3
613,,modT-2 trend,1.3
614,,modT-2 trend,1.3
615,,modT-2 trend,1.3
616,,modT-2 trend,1.3
617,,modT-2 trend,1.3
618,,modT-2 trend,1.3
619,,modT-2 trend,1.3
620,,modT-2 trend,1.3
621,,modT-2 trend,1.3
622,,modT-2 trend,1.3
623,,modT-2 trend,1.3
624,,modT-2 trend,1.3
625,,modT-2 trend,1.3
626,,modT-2 trend,1.3
627,,modT-2 trend,1.3
628,,modT-2 trend,1.3
629,,modT-2 trend,1.3
630,,modT-2 trend,1.3
631,,modT-2 trend,1.3
632,,modT-2 trend,1.3
633,,modT-2 trend,1.3
634,,modT-2 trend,1.3
635,,modT-2 trend,1.3
636,,modT-2 trend,1.3
637,,modT-2 trend,1.3
638,,modT-2 trend,1.3
639,,modT-2 trend,1.3
640,,modT-2 trend,1.3
